id,date,fact,source,url,retrieved,phase,subjects,verified
GSW-11,2026-07-28,"Green's new deal is reported to include a no-trade clause.",NBCS Bay Area,https://www.nbcsportsbayarea.com/nba/golden-state-warriors/remaining-free-agency-moves-draymond-green/1952777/,2026-07-31,POST,greendr01|GSW,"single source; NOT in any structured feed - see doc, open questions"
GSW-12,2026-07-28,"Golden State retains Al Horford.",NBCS Bay Area,https://www.nbcsportsbayarea.com/nba/golden-state-warriors/remaining-free-agency-moves-draymond-green/1952777/,2026-07-31,POST,horfoal01|GSW,"corroborated on the BBRef contracts page retrieved 2026-07-31: $6,822,000 for 2026-27 and $7,163,100 for 2027-28"
GSW-13,2026-07-28,"Golden State retains Kristaps Porzingis.",NBCS Bay Area,https://www.nbcsportsbayarea.com/nba/golden-state-warriors/remaining-free-agency-moves-draymond-green/1952777/,2026-07-31,POST,porzikr01|GSW,"corroborated on the BBRef contracts page retrieved 2026-07-31: $19,512,195 for 2026-27, with a $20,487,805 player option for 2027-28"
GSW-14,2026-07-28,"Golden State retains Charles Bassey.",NBCS Bay Area,https://www.nbcsportsbayarea.com/nba/golden-state-warriors/remaining-free-agency-moves-draymond-green/1952777/,2026-07-31,POST,bassech01|GSW,"corroborated on the BBRef contracts page retrieved 2026-07-31: $2,449,421 for 2026-27"
GSW-15,2026-07-28,"De'Anthony Melton is signed pending an exception determination.",NBCS Bay Area,https://www.nbcsportsbayarea.com/nba/golden-state-warriors/remaining-free-agency-moves-draymond-green/1952777/,2026-07-31,POST,meltode01|GSW,"corroborated: Melton on GSW books at $3451779 for 2026-27"
GSW-16,2026-07-28,"Gary Payton II is expected back on a veteran-minimum contract.",NBCS Bay Area,https://www.nbcsportsbayarea.com/nba/golden-state-warriors/remaining-free-agency-moves-draymond-green/1952777/,2026-07-31,POST,paytoga02|GSW,"NOT corroborated: Payton absent from the GSW contract page retrieved 2026-07-31, consistent with 'expected' rather than done"
GSW-17,2026-07-28,"Golden State reaches 12 players under contract and is in no rush to fill the roster.",NBCS Bay Area,https://www.nbcsportsbayarea.com/nba/golden-state-warriors/remaining-free-agency-moves-draymond-green/1952777/,2026-07-31,POST,GSW,single source
GSW-18,2026-07-31,"Quinten Post is under contract with Memphis for three seasons.",Basketball-Reference contracts,https://www.basketball-reference.com/contracts/MEM.html,2026-07-31,POST,postqu01|MEM,"primary source: $8285714 / $8700000 / $9114286 through 2028-29"
PHI-01,2026-07-31,"Philadelphia carries Joel Embiid, Jaylen Brown and Tyrese Maxey at $58.1M, $57.1M and $40.8M for 2026-27.",Basketball-Reference contracts,https://www.basketball-reference.com/contracts/PHI.html,2026-07-31,POST,PHI|embiijo01|brownja02|maxeyty01,primary source
PHI-02,2026-07-31,"James is on Philadelphia's books at $3876529 for 2026-27 with a $4070355 player option for 2027-28.",Basketball-Reference contracts,https://www.basketball-reference.com/contracts/PHI.html,2026-07-31,POST,jamesle01|PHI,"primary source; consistent with the reported 2-year $8M"
RULE-01,2023-07-01,"A free agent who signs cannot be traded for three months or until December 15 of that cap year, whichever is later.",NBA.com,https://api-hub.nba.com/news/nba-trade-deadline-explained,2026-07-31,PRE,,"rule not event; encoded in rules/signing.py"
RULE-02,2023-07-01,"A Bird/Early Bird re-signing by an over-cap team above 120% of prior salary is restricted until January 15 instead.",Hoops Rumors,https://www.hoopsrumors.com/2025/09/free-agents-who-sign-after-monday-wont-be-trade-eligible-on-december-15.html,2026-07-31,PRE,,"rule not event; encoded in rules/signing.py"
RULE-03,2026-06-29,"Green's 2025-26 salary was $25892857, so his $27678571 re-signing is 1.069x and takes the December 15 branch.",derived from ingest,https://www.basketball-reference.com/teams/GSW/2026.html,2026-07-30,PRE,greendr01,"derived, not reported: computed from our own snapshot bbref-2025-26"
